Year,Round,SessionType,DriverNumber,Driver,LapNumber,TimeInLap,Time,Throttle,Brake,DRS,RPM,Speed,X,Y,Z,Steering,Gear,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,FreshTyre,Corner,Speed_ms,Acceleration,Accel_Type
2025,2,Q,1,VER,2,0.0,2025-03-22 07:06:43.091000+00:00,100,False,12,11243,284,-78.0,-1531.0,140.0,,7,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,78.88888888888889,,
2025,2,Q,1,VER,2,0.16,2025-03-22 07:06:43.251000+00:00,100,False,12,11351,285,-274.0,-1580.0,139.0,,7,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,79.16666666666667,1.7361111111111605,Acceleration
2025,2,Q,1,VER,2,0.48,2025-03-22 07:06:43.571000+00:00,100,False,12,11445,291,-395.0,-1609.0,140.0,,7,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,80.83333333333333,5.208333333333305,Acceleration
2025,2,Q,1,VER,2,0.8,2025-03-22 07:06:43.891000+00:00,100,False,12,11580,294,-641.0,-1668.0,140.0,,7,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,81.66666666666667,2.604166666666696,Acceleration
2025,2,Q,1,VER,2,1.12,2025-03-22 07:06:44.211000+00:00,100,False,12,10957,297,-859.0,-1721.0,140.0,,7,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,82.5,2.6041666666666514,Acceleration
2025,2,Q,1,VER,2,1.32,2025-03-22 07:06:44.411000+00:00,100,False,12,10758,298,-969.0,-1748.0,139.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,82.77777777777777,1.3888888888888575,Acceleration
2025,2,Q,1,VER,2,1.56,2025-03-22 07:06:44.651000+00:00,100,False,12,10760,301,-1271.0,-1823.0,139.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,83.61111111111111,3.472222222222262,Acceleration
2025,2,Q,1,VER,2,1.72,2025-03-22 07:06:44.811000+00:00,100,False,12,10796,303,,,,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,84.16666666666667,3.472222222222234,Acceleration
2025,2,Q,1,VER,2,2.08,2025-03-22 07:06:45.171000+00:00,100,False,12,10916,307,-1787.0,-1951.0,139.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,85.27777777777777,3.086419753086388,Acceleration
2025,2,Q,1,VER,2,2.2800000000000002,2025-03-22 07:06:45.371000+00:00,100,False,12,10918,308,-1787.0,-1951.0,139.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,85.55555555555556,1.388888888888927,Acceleration
2025,2,Q,1,VER,2,2.56,2025-03-22 07:06:45.651000+00:00,100,False,12,10986,310,-2049.0,-2016.0,139.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,86.11111111111111,1.984126984126991,Acceleration
2025,2,Q,1,VER,2,2.76,2025-03-22 07:06:45.851000+00:00,100,False,12,11059,311,-2181.0,-2049.0,140.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,86.38888888888889,1.388888888888859,Acceleration
2025,2,Q,1,VER,2,2.96,2025-03-22 07:06:46.051000+00:00,100,False,12,11044,312,-2461.0,-2118.0,140.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,86.66666666666667,1.388888888888927,Acceleration
2025,2,Q,1,VER,2,3.2800000000000002,2025-03-22 07:06:46.371000+00:00,100,False,12,11117,314,-2833.0,-2209.0,140.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,87.22222222222221,1.73611111111107,Acceleration
2025,2,Q,1,VER,2,3.56,2025-03-22 07:06:46.651000+00:00,100,False,12,11187,315,-3130.0,-2281.0,140.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,87.5,0.992063492063521,Acceleration
2025,2,Q,1,VER,2,3.76,2025-03-22 07:06:46.851000+00:00,100,False,12,11187,316,-3130.0,-2281.0,140.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,87.77777777777777,1.388888888888859,Acceleration
2025,2,Q,1,VER,2,3.92,2025-03-22 07:06:47.011000+00:00,100,False,12,11223,317,-3361.0,-2338.0,141.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,88.05555555555556,1.736111111111159,Acceleration
2025,2,Q,1,VER,2,4.28,2025-03-22 07:06:47.371000+00:00,100,False,12,11227,318,-3784.0,-2440.0,140.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,88.33333333333333,0.7716049382715867,Acceleration
2025,2,Q,1,VER,2,4.44,2025-03-22 07:06:47.531000+00:00,100,False,12,11317,318,-3784.0,-2440.0,140.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,88.33333333333333,0.0,Neutral
2025,2,Q,1,VER,2,4.72,2025-03-22 07:06:47.811000+00:00,100,False,12,11293,320,-4094.0,-2510.0,139.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,88.88888888888889,1.9841269841269944,Acceleration
2025,2,Q,1,VER,2,4.88,2025-03-22 07:06:47.971000+00:00,100,False,12,11298,321,-4094.0,-2510.0,139.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,89.16666666666667,1.736111111111159,Acceleration
2025,2,Q,1,VER,2,5.241,2025-03-22 07:06:48.332000+00:00,71,False,8,11089,320,-4503.0,-2561.0,143.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,88.88888888888889,-0.769467528470321,Deceleration
2025,2,Q,1,VER,2,5.561,2025-03-22 07:06:48.652000+00:00,0,True,8,10479,316,-4766.0,-2545.0,147.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,87.77777777777777,-3.472222222222229,Deceleration
2025,2,Q,1,VER,2,5.881,2025-03-22 07:06:48.972000+00:00,0,True,8,10473,278,-4998.0,-2482.0,156.0,,8,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,77.22222222222221,-15.0,Deceleration
2025,2,Q,1,VER,2,6.201,2025-03-22 07:06:49.292000+00:00,0,True,8,11098,256,-5163.0,-2401.0,162.0,,7,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,71.11111111111111,-15.0,Deceleration
2025,2,Q,1,VER,2,6.401,2025-03-22 07:06:49.492000+00:00,0,True,8,11539,245,-5273.0,-2326.0,166.0,,7,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,68.05555555555556,-15.0,Deceleration
2025,2,Q,1,VER,2,6.72,2025-03-22 07:06:49.811000+00:00,2,True,8,11594,236,-5391.0,-2219.0,171.0,,6,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,65.55555555555556,-7.836990595611287,Deceleration
2025,2,Q,1,VER,2,7.08,2025-03-22 07:06:50.171000+00:00,4,True,8,10871,225,,,,,5,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,62.5,-8.487654320987652,Deceleration
2025,2,Q,1,VER,2,7.28,2025-03-22 07:06:50.371000+00:00,4,True,8,10365,209,-5595.0,-1867.0,184.0,,5,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,58.05555555555556,-15.0,Deceleration
2025,2,Q,1,VER,2,7.44,2025-03-22 07:06:50.531000+00:00,1,True,8,10353,209,-5595.0,-1867.0,184.0,,5,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,58.05555555555556,0.0,Neutral
2025,2,Q,1,VER,2,7.6,2025-03-22 07:06:50.691000+00:00,1,True,8,11287,196,-5627.0,-1716.0,188.0,,5,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,54.44444444444444,-15.0,Deceleration
2025,2,Q,1,VER,2,7.96,2025-03-22 07:06:51.051000+00:00,1,True,8,10335,182,-5630.0,-1573.0,192.0,,4,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,50.55555555555556,-10.80246913580245,Deceleration
2025,2,Q,1,VER,2,8.24,2025-03-22 07:06:51.331000+00:00,1,True,8,9781,170,-5582.0,-1351.0,200.0,,4,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,47.22222222222222,-11.904761904761903,Deceleration
2025,2,Q,1,VER,2,8.48,2025-03-22 07:06:51.571000+00:00,2,True,8,9281,160,,,,,4,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,44.44444444444444,-11.574074074074067,Deceleration
2025,2,Q,1,VER,2,8.68,2025-03-22 07:06:51.771000+00:00,0,True,8,8987,157,-5485.0,-1179.0,206.0,,4,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,43.61111111111111,-4.166666666666694,Deceleration
2025,2,Q,1,VER,2,9.04,2025-03-22 07:06:52.131000+00:00,1,True,8,8380,145,-5414.0,-1104.0,208.0,,4,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,40.27777777777778,-9.259259259259261,Deceleration
2025,2,Q,1,VER,2,9.28,2025-03-22 07:06:52.371000+00:00,1,True,8,9333,135,-5361.0,-1062.0,209.0,,4,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,37.5,-11.574074074074067,Deceleration
2025,2,Q,1,VER,2,9.52,2025-03-22 07:06:52.611000+00:00,1,True,8,9023,129,-5311.0,-1032.0,210.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,35.833333333333336,-6.944444444444429,Deceleration
2025,2,Q,1,VER,2,9.96,2025-03-22 07:06:53.051000+00:00,1,True,8,8208,122,-5088.0,-978.0,210.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,33.888888888888886,-4.419191919191919,Deceleration
2025,2,Q,1,VER,2,10.16,2025-03-22 07:06:53.251000+00:00,1,False,8,8067,116,-5088.0,-978.0,210.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,32.22222222222222,-8.333333333333352,Deceleration
2025,2,Q,1,VER,2,10.44,2025-03-22 07:06:53.531000+00:00,2,False,8,7833,111,-4935.0,-1014.0,207.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,30.833333333333332,-4.960317460317473,Deceleration
2025,2,Q,1,VER,2,10.64,2025-03-22 07:06:53.731000+00:00,1,False,8,7612,108,-4935.0,-1014.0,207.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,30.0,-4.1666666666666385,Deceleration
2025,2,Q,1,VER,2,10.92,2025-03-22 07:06:54.011000+00:00,1,True,8,7352,105,-4881.0,-1048.0,206.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,29.166666666666664,-2.9761904761904914,Deceleration
2025,2,Q,1,VER,2,11.16,2025-03-22 07:06:54.251000+00:00,4,False,8,7321,102,-4830.0,-1093.0,203.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,28.333333333333332,-3.4722222222222143,Deceleration
2025,2,Q,1,VER,2,11.52,2025-03-22 07:06:54.611000+00:00,20,False,8,7428,100,-4763.0,-1198.0,197.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,27.77777777777778,-1.5432098765432067,Deceleration
2025,2,Q,1,VER,2,11.68,2025-03-22 07:06:54.771000+00:00,25,False,8,7483,102,-4763.0,-1198.0,197.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,28.333333333333332,3.4722222222222068,Acceleration
2025,2,Q,1,VER,2,12.041,2025-03-22 07:06:55.132000+00:00,27,False,8,7559,103,-4738.0,-1283.0,193.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,28.61111111111111,0.7694675284702993,Acceleration
2025,2,Q,1,VER,2,12.361,2025-03-22 07:06:55.452000+00:00,45,False,8,8124,105,-4735.0,-1404.0,185.0,,3,0 days 00:01:31.424000,0 days 00:00:24.256000,0 days 00:00:27.505000,0 days 00:00:39.663000,SOFT,True,,29.166666666666664,1.7361111111111034,Acceleration
