Year,Round,SessionType,DriverNumber,Driver,LapNumber,TimeInLap,Time,Throttle,Brake,DRS,RPM,Speed,X,Y,Z,Steering,Gear,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,FreshTyre,Corner,Speed_ms,Acceleration,Accel_Type
2025,6,Q,1,VER,2,0.0,2025-05-03 20:18:34.271000+00:00,100,False,12,10948,295,1957.0,52.0,250.0,,7,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,81.94444444444444,,
2025,6,Q,1,VER,2,0.28,2025-05-03 20:18:34.551000+00:00,100,False,12,10617,298,2153.0,-70.0,251.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,82.77777777777777,2.976190476190459,Acceleration
2025,6,Q,1,VER,2,0.52,2025-05-03 20:18:34.791000+00:00,100,False,12,10685,301,2308.0,-168.0,251.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,83.61111111111111,3.472222222222262,Acceleration
2025,6,Q,1,VER,2,0.68,2025-05-03 20:18:34.951000+00:00,100,False,12,10693,302,2506.0,-293.0,251.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,83.88888888888889,1.7361111111110712,Acceleration
2025,6,Q,1,VER,2,1.04,2025-05-03 20:18:35.311000+00:00,100,False,12,10861,305,2649.0,-382.0,251.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,84.72222222222221,2.3148148148148016,Acceleration
2025,6,Q,1,VER,2,1.28,2025-05-03 20:18:35.551000+00:00,100,False,12,10883,307,2937.0,-563.0,250.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,85.27777777777777,2.3148148148148215,Acceleration
2025,6,Q,1,VER,2,1.641,2025-05-03 20:18:35.912000+00:00,100,False,12,11026,309,3141.0,-688.0,249.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,85.83333333333333,1.5389350569406015,Acceleration
2025,6,Q,1,VER,2,1.881,2025-05-03 20:18:36.152000+00:00,100,False,12,11045,311,3363.0,-821.0,248.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,86.38888888888889,2.3148148148148215,Acceleration
2025,6,Q,1,VER,2,2.201,2025-05-03 20:18:36.472000+00:00,100,False,12,11099,313,3678.0,-1006.0,247.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,86.94444444444444,1.7361111111111156,Acceleration
2025,6,Q,1,VER,2,2.3609999999999998,2025-05-03 20:18:36.632000+00:00,100,False,12,11099,314,3678.0,-1006.0,247.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,87.22222222222221,1.736111111111075,Acceleration
2025,6,Q,1,VER,2,2.641,2025-05-03 20:18:36.912000+00:00,100,False,12,11129,316,3955.0,-1155.0,245.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,87.77777777777777,1.984126984126988,Acceleration
2025,6,Q,1,VER,2,2.841,2025-05-03 20:18:37.112000+00:00,100,False,12,11258,317,4188.0,-1276.0,244.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,88.05555555555556,1.388888888888927,Acceleration
2025,6,Q,1,VER,2,3.121,2025-05-03 20:18:37.392000+00:00,0,True,8,10382,313,4348.0,-1359.0,244.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,86.94444444444444,-3.968253968253982,Deceleration
2025,6,Q,1,VER,2,3.3609999999999998,2025-05-03 20:18:37.632000+00:00,0,True,8,9822,251,4449.0,-1412.0,246.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,69.72222222222221,-15.0,Deceleration
2025,6,Q,1,VER,2,3.561,2025-05-03 20:18:37.832000+00:00,0,True,8,9493,221,4652.0,-1520.0,248.0,,8,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,61.388888888888886,-15.0,Deceleration
2025,6,Q,1,VER,2,3.761,2025-05-03 20:18:38.032000+00:00,0,True,8,9369,196,4652.0,-1520.0,248.0,,7,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,54.44444444444444,-15.0,Deceleration
2025,6,Q,1,VER,2,4.001,2025-05-03 20:18:38.272000+00:00,0,True,8,10358,174,4840.0,-1643.0,248.0,,6,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,48.33333333333333,-15.0,Deceleration
2025,6,Q,1,VER,2,4.28,2025-05-03 20:18:38.551000+00:00,0,True,8,9781,151,4900.0,-1694.0,247.0,,6,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,41.94444444444444,-15.0,Deceleration
2025,6,Q,1,VER,2,4.64,2025-05-03 20:18:38.911000+00:00,0,True,8,9565,127,4951.0,-1752.0,245.0,,3,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,35.27777777777778,-15.0,Deceleration
2025,6,Q,1,VER,2,5.04,2025-05-03 20:18:39.311000+00:00,0,True,8,8048,116,5013.0,-1914.0,243.0,,3,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,32.22222222222222,-7.638888888888886,Deceleration
2025,6,Q,1,VER,2,5.24,2025-05-03 20:18:39.511000+00:00,0,False,8,7832,112,5011.0,-1962.0,243.0,,3,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,31.11111111111111,-5.555555555555548,Deceleration
2025,6,Q,1,VER,2,5.4,2025-05-03 20:18:39.671000+00:00,0,False,8,7616,111,5011.0,-1962.0,243.0,,3,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,30.833333333333332,-1.7361111111111145,Deceleration
2025,6,Q,1,VER,2,5.68,2025-05-03 20:18:39.951000+00:00,0,False,8,7375,106,4970.0,-2074.0,243.0,,3,0 days 00:01:27.573000,0 days 00:00:28.784000,0 days 00:00:33.733000,0 days 00:00:25.056000,SOFT,True,,29.444444444444443,-4.960317460317473,Deceleration
