Year,Round,SessionType,DriverNumber,Driver,LapNumber,TimeInLap,Time,Throttle,Brake,DRS,RPM,Speed,X,Y,Z,Steering,Gear,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,FreshTyre,Corner,Speed_ms,Acceleration,Accel_Type
2025,12,Q,1,VER,2,0.0,2025-07-05 14:04:46.840000+00:00,100,False,8,10753,269,-1581.0,1437.0,1965.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,74.72222222222221,,
2025,12,Q,1,VER,2,0.28,2025-07-05 14:04:47.120000+00:00,100,False,8,10939,276,-1447.0,1604.0,1966.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,76.66666666666667,6.944444444444489,Acceleration
2025,12,Q,1,VER,2,0.52,2025-07-05 14:04:47.360000+00:00,100,False,8,11074,278,-1447.0,1604.0,1966.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,77.22222222222221,2.3148148148147625,Acceleration
2025,12,Q,1,VER,2,0.88,2025-07-05 14:04:47.720000+00:00,100,False,8,11250,285,-1214.0,1917.0,1970.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,79.16666666666667,5.40123456790127,Acceleration
2025,12,Q,1,VER,2,1.16,2025-07-05 14:04:48+00:00,100,False,8,11332,287,-1139.0,2020.0,1971.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,79.72222222222221,1.9841269841269396,Acceleration
2025,12,Q,1,VER,2,1.48,2025-07-05 14:04:48.320000+00:00,100,False,8,11465,292,-903.0,2345.0,1976.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,81.11111111111111,4.340277777777811,Acceleration
2025,12,Q,1,VER,2,1.6400000000000001,2025-07-05 14:04:48.480000+00:00,100,False,8,11524,292,-903.0,2345.0,1976.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,81.11111111111111,0.0,Neutral
2025,12,Q,1,VER,2,1.8,2025-07-05 14:04:48.640000+00:00,100,False,8,11684,295,-701.0,2623.0,1981.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,81.94444444444444,5.208333333333306,Acceleration
2025,12,Q,1,VER,2,2.04,2025-07-05 14:04:48.880000+00:00,100,False,8,10596,296,-701.0,2623.0,1981.0,,7,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,82.22222222222221,1.1574074074073812,Acceleration
2025,12,Q,1,VER,2,2.279,2025-07-05 14:04:49.119000+00:00,100,False,8,10611,299,-559.0,2825.0,1984.0,,8,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,83.05555555555556,3.486750348675076,Acceleration
2025,12,Q,1,VER,2,2.439,2025-07-05 14:04:49.279000+00:00,100,False,8,10685,300,-484.0,2935.0,1986.0,,8,0:01:26.041000,0 days 00:00:27.749000,0 days 00:00:34.530000,0:00:23.762000,SOFT,True,,83.33333333333333,1.73611111111107,Acceleration
