Year,Round,SessionType,DriverNumber,Driver,LapNumber,TimeInLap,Time,Throttle,Brake,DRS,RPM,Speed,X,Y,Z,Steering,Gear,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,FreshTyre,Corner,Speed_ms,Acceleration,Accel_Type
2025,14,Q,1,VER,2,0.0,2025-08-02 14:05:15.764000+00:00,100,False,12,10841,272,-1628.0,3.0,2388.0,,7,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,75.55555555555556,,
2025,14,Q,1,VER,2,0.2,2025-08-02 14:05:15.964000+00:00,100,False,12,11006,275,-1723.0,81.0,2388.0,,7,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,76.38888888888889,4.166666666666643,Acceleration
2025,14,Q,1,VER,2,0.359,2025-08-02 14:05:16.123000+00:00,100,False,12,11149,278,-1891.0,219.0,2388.0,,7,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,77.22222222222221,5.241090146750495,Acceleration
2025,14,Q,1,VER,2,0.559,2025-08-02 14:05:16.323000+00:00,100,False,12,11182,281,-2024.0,328.0,2388.0,,7,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,78.05555555555556,4.166666666666712,Acceleration
2025,14,Q,1,VER,2,0.759,2025-08-02 14:05:16.523000+00:00,100,False,12,11301,284,,,,,7,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,78.88888888888889,4.166666666666644,Acceleration
2025,14,Q,1,VER,2,1.119,2025-08-02 14:05:16.883000+00:00,100,False,12,11301,289,-2258.0,520.0,2388.0,,7,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,80.27777777777777,3.858024691358016,Acceleration
2025,14,Q,1,VER,2,1.319,2025-08-02 14:05:17.083000+00:00,100,False,12,11459,292,-2408.0,643.0,2388.0,,7,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,81.11111111111111,4.166666666666715,Acceleration
2025,14,Q,1,VER,2,1.639,2025-08-02 14:05:17.403000+00:00,100,False,12,11385,294,-2672.0,860.0,2388.0,,7,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,81.66666666666667,1.7361111111111156,Acceleration
2025,14,Q,1,VER,2,1.959,2025-08-02 14:05:17.723000+00:00,100,False,12,10458,297,-2901.0,1049.0,2388.0,,8,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,82.5,2.6041666666666514,Acceleration
2025,14,Q,1,VER,2,2.1189999999999998,2025-08-02 14:05:17.883000+00:00,100,False,12,10553,298,-2901.0,1049.0,2388.0,,8,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,82.77777777777777,1.736111111111075,Acceleration
2025,14,Q,1,VER,2,2.399,2025-08-02 14:05:18.163000+00:00,100,False,12,10636,300,-3004.0,1133.0,2388.0,,8,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,83.33333333333333,1.984126984126988,Acceleration
2025,14,Q,1,VER,2,2.759,2025-08-02 14:05:18.523000+00:00,100,False,12,10810,303,,,,,8,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,84.16666666666667,2.314814814814842,Acceleration
2025,14,Q,1,VER,2,2.919,2025-08-02 14:05:18.683000+00:00,100,False,12,10829,305,,,,,8,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,84.72222222222221,3.47222222222214,Acceleration
2025,14,Q,1,VER,2,3.199,2025-08-02 14:05:18.963000+00:00,100,False,12,10871,306,-3715.0,1718.0,2382.0,,8,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,85.0,0.992063492063521,Acceleration
2025,14,Q,1,VER,2,3.36,2025-08-02 14:05:19.124000+00:00,100,False,12,10910,308,-3715.0,1718.0,2382.0,,8,0:01:16.346000,0 days 00:00:27.749000,0 days 00:00:26.864000,0:00:21.733000,SOFT,True,,85.55555555555556,3.450655624568677,Acceleration
