Year,Round,SessionType,DriverNumber,Driver,LapNumber,TimeInLap,Time,Throttle,Brake,DRS,RPM,Speed,X,Y,Z,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,FreshTyre,Corner,Speed_ms,Acceleration,Accel_Type
2025,22,Q,1,VER,1.0,0.0,0 days 00:00:00,0.0,True,9,4794.625088,44.1312512,3641.725678495655,1446.6402756938214,1.3729978944444334e-65,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,12.25868088888889,,
2025,22,Q,1,VER,1.0,0.014,0 days 00:00:00.014000,0.0,True,9,4785.0,44.0,3642.191730816803,1448.001509257331,1.378706625876302e-65,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,12.222222222222221,-2.604190476190585,Deceleration
2025,22,Q,1,VER,1.0,0.186,0 days 00:00:00.186000,0.0,True,9,4637.94,42.71,3648.0,1469.0,0.0,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,11.863888888888889,-2.0833333333333286,Deceleration
2025,22,Q,1,VER,1.0,0.414,0 days 00:00:00.414000,0.0,True,9,4443.0,41.0,3655.6149028057457,1507.3469410890248,-2.6972830483055347e-65,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,11.38888888888889,-2.083333333333332,Deceleration
2025,22,Q,1,VER,1.0,0.466,0 days 00:00:00.466000,0.0,True,9,4407.855172413793,40.73103448275862,3657.0,1516.0,0.0,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,11.314176245210728,-1.4367816091954089,Deceleration
2025,22,Q,1,VER,1.0,1.574,0 days 00:00:01.574000,0.0,False,9,3659.0,35.0,3650.795009859705,1625.0809344365202,4.932439959793058e-64,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,9.722222222222221,-1.4367816091954029,Deceleration
2025,22,Q,1,VER,1.0,1.626,0 days 00:00:01.626000,0.0,False,9,3641.84,34.74,3650.0,1628.0,0.0,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,9.65,-1.3888888888888715,Deceleration
2025,22,Q,1,VER,1.0,1.774,0 days 00:00:01.774000,0.0,False,9,3593.0,34.0,3647.7789008643967,1635.5569088848913,-1.7835208117771057e-63,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,9.444444444444445,-1.3888888888888886,Deceleration
2025,22,Q,1,VER,1.0,1.926,0 days 00:00:01.926000,0.0,False,9,3539.1666666666665,32.733333333333334,3645.0,1645.0,0.0,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,9.092592592592593,-2.3148148148148118,Deceleration
2025,22,Q,1,VER,1.0,2.014,0 days 00:00:02.014000,0.0,False,9,3508.0,32.0,3642.894503464774,1652.5861132865318,4.598224125645016e-63,,,0 days 00:00:48.291000,0 days 00:01:07.356000,INTERMEDIATE,True,,8.88888888888889,-2.3148148148148238,Deceleration
