held_out_round,n_drivers,ari_vs_full
1,21,0.2581818181818182
2,21,0.6823295830575777
3,21,0.534803583735355
4,21,0.4729444834855938
5,21,0.4639027877055039
6,21,0.8242591316333563
7,21,0.5994378074490513
8,21,0.6354538956397426
9,21,0.6060815480304077
10,21,0.5448415374241402
11,21,0.5994378074490513
12,21,0.6354538956397426
13,21,0.49014276002719237
14,21,0.5003543586109143
15,21,0.4639027877055039
16,21,0.6823295830575777
17,21,0.40119760479041916
18,21,0.4729444834855938
19,21,1.0
20,21,0.668279198341396
21,21,0.8242591316333563
22,21,0.49014276002719237
23,21,0.7484276729559748
24,21,0.668279198341396
