Driver,Round,Avg_Speed,Max_Speed,Avg_Throttle,Brake_Pct,Avg_RPM,Brake_Zones,Brake_Time_Pct,Mean_Entry_Speed,Mean_Apex_Speed,Mean_Exit_Speed,Mean_Brake_Duration,Std_Brake_Duration,Mean_Peak_Decel,Max_Peak_Decel,Sector1_Ratio,Sector2_Ratio,Sector3_Ratio,Speed_Pct_10,Speed_Pct_20,Speed_Pct_30,Speed_Pct_40,Speed_Pct_50,Speed_Pct_60,Speed_Pct_70,Speed_Pct_80,Speed_Pct_90,Brake_First_Third,Brake_Mid_Third,Brake_Last_Third
ALB,1,248.6315789473684,332.0,79.7719298245614,12.982456140350877,10760.905263157894,7.0,14.431517715494438,273.42857142857144,164.28571428571428,164.28571428571428,1.5594285714285705,0.7851554636126628,-13.741433435026753,-15.0,1.2767998151072764,1.2056163168785103,,246.64285714285714,189.22222222222223,263.5769230769231,275.1304347826087,316.60869565217394,295.0,295.4347826086956,203.07894736842104,179.86111111111111,14.583333333333334,7.4074074074074066,15.887850467289718
ALO,1,247.04347826086956,331.0,81.40133779264214,10.702341137123746,10845.260869565218,7.0,15.556639723625059,266.7142857142857,162.14285714285714,162.14285714285714,1.6854285714285726,0.6924199504311683,-13.849206349206352,-15.0,1.0140595508647587,1.019923145137452,,251.2,191.55555555555554,261.9032258064516,272.32142857142856,313.625,296.40909090909093,294.2,201.46153846153845,177.66666666666666,12.121212121212121,5.813953488372093,13.274336283185843
ANT,1,248.13167259786476,329.0,81.04982206405694,12.811387900355871,10928.02491103203,6.0,14.775042389032745,289.6666666666667,159.83333333333334,159.83333333333334,1.8735000000000006,0.6494083846086375,-15.0,-15.0,1.3065367281691769,1.3227904227017442,,243.07692307692307,181.12121212121212,263.60714285714283,271.38461538461536,309.64,296.1,285.5,207.61764705882354,187.4,15.463917525773196,6.25,15.53398058252427
BOR,1,247.07849829351537,331.0,80.47098976109216,11.945392491467576,10763.79180887372,8.0,17.7213198568451,277.0,172.25,172.25,1.6897500000000014,0.7696138236154547,-12.58825231481481,-15.0,1.2370093601941374,1.1866390777416493,,239.10344827586206,189.5897435897436,262.25,262.2916666666667,307.0740740740741,305.4583333333333,284.25,208.41666666666666,184.47368421052633,11.428571428571429,7.0588235294117645,16.666666666666664
DOO,1,246.0842105263158,331.0,79.93684210526315,12.982456140350877,10696.428070175438,7.0,16.786842105263165,294.2857142857143,175.0,175.0,1.8225714285714292,0.8392407890711806,-13.518518518518515,-15.0,1.2696737413813028,1.2390186225243867,,242.41379310344828,187.28571428571428,264.6296296296296,263.1363636363636,308.5263157894737,305.77777777777777,293.0769230769231,196.24324324324326,180.71052631578948,13.0,9.210526315789473,15.887850467289718
GAS,1,248.48387096774192,329.0,81.67383512544802,12.186379928315413,10814.09677419355,7.0,15.628299894403378,278.42857142857144,166.42857142857142,166.42857142857142,1.6914285714285715,0.7825859801494849,-13.565759637188208,-15.0,1.280882862755672,1.1940289683712682,,249.1,189.05714285714285,268.2173913043478,271.9642857142857,314.95238095238096,294.22727272727275,295.625,199.9375,180.33333333333334,12.121212121212121,8.860759493670885,15.0
HAD,1,248.8833922261484,333.0,81.86925795053004,11.307420494699647,10730.30035335689,6.0,15.13207497255328,289.5,161.66666666666666,161.66666666666666,1.9066666666666674,0.7496196072379347,-15.0,-15.0,1.216979315126536,1.155719775347325,,244.72413793103448,193.85714285714286,265.6666666666667,263.95652173913044,310.4166666666667,306.7307692307692,291.2608695652174,210.08333333333334,181.89473684210526,13.541666666666666,5.063291139240507,14.018691588785046
HAM,1,247.91166077738515,326.0,82.03533568904594,14.487632508833922,10888.261484098939,8.0,16.382772836331338,274.875,173.5,173.5,1.5448749999999998,0.6698224461564407,-12.624421296296306,-15.0,1.0146758599437617,1.0085722731303577,,249.3793103448276,192.7058823529412,255.41176470588235,280.2307692307692,315.4347826086956,288.375,300.8636363636364,199.97142857142856,177.14285714285714,16.831683168316832,4.938271604938271,20.0
HUL,1,245.4,332.0,80.45423728813559,14.237288135593221,10882.969491525424,8.0,16.824174235354434,269.375,169.375,169.375,1.6000000000000008,0.7040102982201312,-13.449074074074051,-15.0,1.2712915527136859,1.1349098433343188,,241.44444444444446,189.69230769230768,253.85185185185185,265.0,307.52,318.27272727272725,281.60714285714283,200.28571428571428,178.1891891891892,17.0,9.876543209876543,15.178571428571427
LAW,1,248.63859649122807,332.0,80.47719298245615,11.929824561403509,10710.585964912281,7.0,16.258256145698976,275.14285714285717,157.71428571428572,157.71428571428572,1.7828571428571416,0.7403034954031493,-13.51851851851852,-15.0,1.022610839335927,1.0163168785101981,,241.67741935483872,193.9,263.28,263.25,313.6,299.5,286.3478260869565,224.1290322580645,183.05263157894737,13.592233009708737,7.228915662650602,14.285714285714285
